Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963278.8116295,1.6723943610892604,0,0,3.8239748427734113,[-472.55921187],[ 0.         -1.67239436  0.         -3.82397484]
1733963278.9196355,2.507701727066234,0,0,7.733897764611561,[-713.23123693],[ 0.         -2.50770173  0.         -7.73389776]
1733963279.0306191,2.1055141888560343,0,0,-3.6238462386926567,[-547.7588144],[ 0.         -2.10551419  0.          3.62384624]
1733963279.1388626,1.496191370829223,0,0,-5.629188012804075,[-359.73046689],[ 0.         -1.49619137  0.          5.62918801]
1733963279.2478678,1.6846843178962843,0,0,1.7292103951110422,[-460.8383195],[ 0.         -1.68468432  0.         -1.7292104 ]
1733963279.3578222,2.5354262344654614,0,0,7.737227870198243,[-733.58109852],[ 0.         -2.53542623  0.         -7.73722787]
1733963279.4688659,1.6723943610892604,0,0,-7.772002719541758,[-402.60489737],[ 0.         -1.67239436  0.          7.77200272]
1733963279.5761297,1.6723943610892604,0,0,0.0,[-439.08403031],[ 0.         -1.67239436  0.          0.        ]
1733963279.6868253,1.26367255165826,0,0,-3.6923040080115324,[-317.78577718],[ 0.         -1.26367255  0.          3.69230401]
1733963279.796286,2.1055141888560343,0,0,7.690802562915308,[-614.79801937],[ 0.         -2.10551419  0.         -7.69080256]
1733963279.9062686,0.8425242607403902,0,0,-11.483554535996442,[-150.78130671],[ 0.         -0.84252426  0.         11.48355454]
1733963280.0135033,1.034107544883426,0,0,1.7865789228264615,[-282.9621642],[ 0.         -1.03410754  0.         -1.78657892]
1733963280.1235332,1.26367255165826,0,0,2.0863868094529208,[-354.14989921],[ 0.         -1.26367255  0.         -2.08638681]
1733963280.2344172,0.8303154862580016,0,0,-3.9082036738472783,[-199.2683239],[ 0.         -0.83031549  0.          3.90820367]
1733963280.341386,0.6295986084102765,0,0,-1.876404412303804,[-152.7628571],[ 0.         -0.62959861  0.          1.87640441]
1733963280.454388,0.8363753254224093,0,0,1.829852924000255,[-243.78294888],[ 0.         -0.83637533  0.         -1.82985292]
1733963280.562382,1.2590452071752622,0,0,3.913824566662659,[-358.25404389],[ 0.         -1.25904521  0.         -3.91382457]
1733963280.6697874,1.254451622681529,0,0,-0.04276864535896031,[-329.51226721],[ 0.         -1.25445162  0.          0.04276865]
1733963280.7800987,1.0531126323238027,0,0,-1.8251896727825832,[-272.22814386],[ 0.         -1.05311263  0.          1.82518967]
1733963280.888103,1.4581231558972263,0,0,3.749947040231753,[-409.85098437],[ 0.         -1.45812316  0.         -3.74994704]
1733963280.9991639,1.26367255165826,0,0,-1.750847311450729,[-331.81406915],[ 0.         -1.26367255  0.          1.75084731]
1733963281.1071613,1.4581231558972263,0,0,1.8005116125029537,[-397.15119235],[ 0.         -1.45812316  0.         -1.80051161]
1733963281.217099,1.6723943610892604,0,0,1.9490244734940092,[-462.92800962],[ 0.         -1.67239436  0.         -1.94902447]
1733963281.3281856,1.254451622681529,0,0,-3.762314375893644,[-315.9328969],[ 0.         -1.25445162  0.          3.76231438]
1733963281.438252,1.254451622681529,0,0,0.0,[-337.95936789],[ 0.         -1.25445162  0.          0.        ]
1733963281.550325,1.2498914301211812,0,0,-0.04068950427733214,[-342.59496858],[ 0.         -1.24989143  0.          0.0406895 ]
1733963281.658319,1.6723943610892604,0,0,3.91227864131742,[-467.50690197],[ 0.         -1.67239436  0.         -3.91227864]
1733963281.7697337,1.2498914301211812,0,0,-3.792166035114258,[-315.42210612],[ 0.         -1.24989143  0.          3.79216604]
1733963281.8767352,0.8363753254224093,0,0,-3.8645807614633734,[-194.15938418],[ 0.         -0.83637533  0.          3.86458076]
1733963281.988731,1.254451622681529,0,0,3.7329675012328303,[-369.05025744],[ 0.         -1.25445162  0.         -3.7329675 ]
1733963282.0976708,1.254451622681529,0,0,0.0,[-334.50035977],[ 0.         -1.25445162  0.          0.        ]
1733963282.2067342,1.6723943610892604,0,0,3.8321085583501877,[-471.60959726],[ 0.         -1.67239436  0.         -3.83210856]
1733963282.316718,1.66028236898282,0,0,-0.11012511638697953,[-446.22909226],[ 0.         -1.66028237  0.          0.11012512]
1733963282.4276834,1.6723943610892604,0,0,0.10915121532719119,[-454.96500533],[ 0.         -1.67239436  0.         -0.10915122]
1733963282.535926,1.66028236898282,0,0,-0.11189656663064336,[-439.15323429],[ 0.         -1.66028237  0.          0.11189657]
1733963282.647145,1.254451622681529,0,0,-3.648935922052301,[-317.06830097],[ 0.         -1.25445162  0.          3.64893592]
