Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963065.7337985,345.2564371635293,0,0,-4.641859480000637,[-92141.38400146],[   0.         -345.25643716    0.            4.64185948]
1733963065.843797,347.26913121019356,0,0,18.297474008110797,[-93620.50135174],[   0.         -347.26913121    0.          -18.29747401]
1733963065.9522257,0.8363753254224093,0,0,-3195.0277247357953,[20632.30450292],[ 0.00000000e+00 -8.36375325e-01  0.00000000e+00  3.19502772e+03]
1733963066.060884,14.444035724492238,0,0,125.23349506624344,[-4660.69980002],[   0.          -14.44403572    0.         -125.23349507]
1733963066.1702523,22.587310531365716,0,0,74.4573427498205,[-6536.8105453],[  0.         -22.58731053   0.         -74.45734275]
1733963066.2792902,25.51823482267457,0,0,26.879873263830902,[-6987.00821594],[  0.         -25.51823482   0.         -26.87987326]
1733963066.3902812,25.610209923205787,0,0,0.8286716904570649,[-6963.0918611],[  0.         -25.61020992   0.          -0.82867169]
1733963066.4995534,25.42687416958981,0,0,-1.6777888962855976,[-6789.74142971],[  0.         -25.42687417   0.           1.6777889 ]
1733963066.6087217,23.70264595096623,0,0,-15.7942219428148,[-6229.78391113],[  0.         -23.70264595   0.          15.79422194]
1733963066.7207303,19.108985720906503,0,0,-41.01168476149415,[-4962.42934431],[  0.         -19.10898572   0.          41.01168476]
1733963066.8277252,4.431039312913526,0,0,-137.1836497860382,[-276.87319349],[  0.          -4.43103931   0.         137.18364979]
1733963066.9364147,358.3153156821037,0,0,3255.9182321380545,[-116628.29734755],[    0.          -358.31531568     0.         -3255.91823214]
1733963067.048823,350.9511097951182,0,0,-65.51295022770395,[-96117.55869974],[   0.         -350.9511098     0.           65.51295023]
1733963067.155915,348.19756579221644,0,0,-25.71197175616447,[-91106.36146349],[   0.         -348.19756579    0.           25.71197176]
1733963067.268999,343.94001269283933,0,0,-37.649447923041286,[-94944.35835297],[   0.         -343.94001269    0.           37.64944792]
1733963067.3781972,341.3010171958189,0,0,-24.167047376989373,[-91064.98902474],[   0.         -341.3010172     0.           24.16704738]
1733963067.4871795,343.02028915541393,0,0,15.775695424940457,[-91605.71528094],[   0.         -343.02028916    0.          -15.77569542]
1733963067.597193,352.8749836510982,0,0,89.57715047141825,[-95614.87066645],[   0.         -352.87498365    0.          -89.57715047]
1733963067.705173,2.526116911619539,0,0,-3244.571447536796,[20422.36122398],[ 0.00000000e+00 -2.52611691e+00  0.00000000e+00  3.24457145e+03]
1733963067.814603,10.645663344960326,0,0,74.198491193676,[-3340.22004873],[  0.         -10.64566334   0.         -74.19849119]
1733963067.9227877,15.478638165418346,0,0,44.67341831533117,[-4389.70434424],[  0.         -15.47863817   0.         -44.67341832]
1733963068.0329213,21.801409486351815,0,0,57.40998723297383,[-6257.67612967],[  0.         -21.80140949   0.         -57.40998723]
1733963068.1429198,27.71850162818336,0,0,53.79249759703798,[-7819.16973838],[  0.         -27.71850163   0.         -53.7924976 ]
1733963068.2511225,34.17254689617462,0,0,59.64773074733509,[-9438.98644665],[  0.         -34.1725469    0.         -59.64773075]
1733963068.3603854,36.696537268636945,0,0,23.100149940822913,[-9966.11071821],[  0.         -36.69653727   0.         -23.10014994]
1733963068.4695764,29.852076269182675,0,0,-62.68341444572916,[-7566.40288479],[  0.         -29.85207627   0.          62.68341445]
1733963068.578229,19.65382405805329,0,0,-93.86110401110508,[-4612.97844743],[  0.         -19.65382406   0.          93.86110401]
1733963068.686226,12.898751104164461,0,0,-62.548743654768344,[-3003.05339472],[  0.         -12.8987511    0.          62.54874365]
1733963068.7984283,4.658254109675596,0,0,-73.44313988829973,[-783.27087322],[ 0.         -4.65825411  0.         73.44313989]
1733963068.9076037,359.1574757392596,0,0,3247.060051052817,[-117316.51628257],[    0.          -359.15747574     0.         -3247.06005105]
1733963069.0165372,355.34174589032443,0,0,-35.028082662088444,[-94516.81779871],[   0.         -355.34174589    0.           35.02808266]
1733963069.1266253,350.29607051526204,0,0,-45.833063865236014,[-94087.44902728],[   0.         -350.29607052    0.           45.83306387]
1733963069.2375321,340.76932762433876,0,0,-85.8986059378927,[-91933.51345002],[   0.         -340.76932762    0.           85.89860594]
1733963069.3447526,334.5545935034512,0,0,-57.96222981705115,[-87427.04382821],[   0.         -334.5545935     0.           57.96222982]
1733963069.4558322,331.3895403340348,0,0,-28.493535483204464,[-89910.39188057],[   0.         -331.38954033    0.           28.49353548]
1733963069.5659213,329.53445508054017,0,0,-16.850767842722323,[-88685.83389559],[   0.         -329.53445508    0.           16.85076784]
1733963069.6773129,328.038656583023,0,0,-13.428294816742495,[-89350.20714119],[   0.         -328.03865658    0.           13.42829482]
1733963069.7873192,325.0420236355295,0,0,-27.240549540970303,[-87340.74861625],[   0.         -325.04202364    0.           27.24054954]
1733963069.898498,324.12500864793594,0,0,-8.248104577828181,[-88149.26348924],[   0.         -324.12500865    0.            8.24810458]
1733963070.0114326,322.6333305872313,0,0,-13.20833651421373,[-89095.23530142],[   0.         -322.63333059    0.           13.20833651]
